ISBN,분류,도서명,저자,출판사명,도서가,수량
,IT,Mano의 컴퓨터시스템구조 ,김종상,프로텍미디어,"  33,000 ",2
,IT,데이터베이스 시스템,이석호,정익사,"  36,000 ",2
,IT,C로 쓴 자료구조,이석호 역,교보문고,"  28,000 ",2
,IT,C언어로 쉽게 풀어쓴 자료구조,"천인국, 공용해, 하상호",생능출판사,"  29,000 ",2
,IT,데이터통신과 네트워킹,Forouzan Behrouz A.,McGraw-Hill,"  39,000 ",2
,IT,알고리즘 기초,도경구,홍릉과학출판사 ,"  32,000 ",2
,IT,디지털 논리 회로,"임석구, 홍경호",한빛아카데미,"  27,000 ",2
,IT,Operating System Concepts 에센셜(2판),"Abraham Silberschatz, Peter Baer Galvin, Greg Gagne",홍릉과학출판사,"  35,000 ",1
,IT,Do it! 자료구조와 함께 배우는 알고리즘 입문 C 언어 편,시바타 보요 저/강민 역,이지스퍼블리싱,"  19,800 ",1
,IT,최신 선형 대수,"HOWARD ANTON, ROBERT C. BUSBY 공저 / 고형준 역 ",교보문고,"  29,000 ",1
,IT,"OpenGL 4 Shading Language Cookbook, 3/E",David Wolff,Packt Publishing,"  49,000 ",1
,IT,윤성우의 열혈 C 프로그래밍,윤성우,오렌지미디어,"  22,500 ",1
,IT,코딩 인터뷰 완전 분석,게일 라크만 맥도웰,인사이트,"  45,000 ",1
,IT,AI 슈퍼파워,"리카이푸 저/박세정, 조성숙 공역", 이콘,"  18,000 ",1
,IT,오픈 소스로 미래를 연마하라,VM(비키) 브라수어 저/송우일 역,인사이트(insight),"  16,200 ",1
,IT,프리-오픈소스 소프트웨어 혁명의 역사,크리스토퍼 토찌 저/이재범 역,지식함지,"  15,000 ",1
,IT,"개발 7년차, 매니저 1일차","카미유 푸르니에 저/권원상, 한민주 역",한빛미디어,"  22,000 ",1
,교육,"Re-스타트, 다시 시작하는 교육",김선 저,혜화동,"  14,000 ",1
,IT,개발자의 글쓰기,김철수 저,위키북스,"  18,000 ",1
,IT,나는 LINE 개발자입니다,"강윤신, 김영환 외 10명 저",한빛미디어,"  16,000 ",1
,IT,코딩책과 함께 보는 코딩 개념 사전,김현정 저,궁리,"  15,000 ",2
,경제경영,조직문화 통찰,김성준 저,클라우드나인,"  23,000 ",1
,IT,"인문학도, 개발자되다",마르코 저,영진닷컴,"  16,000 ",1
,IT,Do it! 첫 코딩,정동균 저,이지스퍼블리싱,"  14,000 ",1
,IT,코딩으로 지구정복,코딩하는 사람들,넥서스,"  13,800 ",1
,IT,소프트웨어 개념 사전,김현정 저,둥리,"  16,000 ",2
,IT,개발자도 궁금한 IT 인프라,"정송화, 김영선, 전성민 저",제이펍,"  20,000 ",1
,IT,개발자 오디세이아,이경종 저,로드북,"  15,000 ",1
,IT,레트로의 유니티 게임 프로그래밍 에센스,이제민 저,한빛미디어,"  60,000 ",2
,IT,Do it! 정직하게 코딩하며 배우는 딥러닝 입문,박해선 저,이지스퍼블리싱,"  19,800 ",1
,IT,소프트웨어 교육 방법,"한선관, 류미영 저",생능출판사,"  28,000 ",1
,IT,이득우의 언리얼 C++ 게임 개발의 정석,이득우 저,에이콘출판,"  50,000 ",2
,IT,게임으로 익히는 코딩 알고리즘,김영기 저,한빛미디어,"  22,000 ",1
,IT,"세상을 만드는 글자, 코딩",박준석 저,동아시아,"  16,000 ",1
,IT,업무와 일상을 정리하는 새로운 방법 Notion,"이해봄, 전시진 저",제이펍,"  18,000 ",1
,경제경영,디자인 씽킹 바이블,로저 마틴,,,1
,자기계발,THE ARTIST'S WAY (나를 위한 12주간의 창조성 워크숍),줄리아 카메론,,,1
,경제경영,"애자일, 민첩하고 유연한 조직의 비밀",스티븐 데닝,,,1
,인문,"로봇 시대, 인간의 일",구본권,어크로스,,1
,IT,실용주의 프로그래머,"앤드류 헌트, 데이비드 토머스",,,1
,IT,리팩토링 (코드 품질을 개선하는 객체지향 사고법),마틴 파울러,,,1
,IT,소프트웨어 장인,산드로 만쿠소,,,1
,IT,해커와 화가,폴 그레이엄,한빛미디어,,1
,IT,Clean Code(클린 코드):애자일 소프트웨어 장인 정신,로버트 마틴,인사이트,,1
,IT,조엘 온 소프트웨어,조엘스폴스키,에이콘출판,"  22,000 ",2
,IT,"프로그래머의 길, 멘토에게 묻다",데이버후버,인사이트,"  14,000 ",2
,IT,프로그래머가 되기 전에 알았더라면 좋았을 것들,고마타 미쓰유키,스트라잇북,"  15,300 ",1
,IT,IT전문가로 사는 법,장동인,한빛미디어,"  14,800 ",1
,IT,벤츠타는 프로그래머,정금호,제이펍,"  13,800 ",1
,IT,거의 모든 IT의 역사,정지훈,메디치미디어,"  16,000 ",1
,IT,거의 모든 인터넷의 역사,정지훈,메디치미디어,"  16,000 ",1
,IT,토비의 스프링 3.1 세트,이일민,아이콘출판사,"  75,000 ",2
,IT,프로그래밍 패턴 : 프로그램을 작성하는 33가지 방법,크리스티나 로페즈,위키북스,"  25,000 ",1
,IT,기계는 어떻게 생각하는가?,숀 게리시,이지스퍼블리싱,"  18,000 ",1
,경제경영,큐레이션(정보 과잉 시대의 돌파구),스티븐 로젠바움,이코노믹북스,"  19,000 ",1
,자기계발,에이트,이지성,차이정원,"  17,000 ",1
,자기계발,홀로 성장하는 시대는 끝났다,이소영,더메이커,"  15,800 ",1
,IT,객체지향의 사실과 오해,조영호,위키북스,"  18,000 ",1
,IT,IT 엔지니어로 사는 법. 1,"권순용, 김은영, 김진성, 변동구, 서태호, 조정원, 최경철, 최성곤",비팬북스,"  16,200 ",1
,IT,1억배 빠른 양자 컴퓨터가 온다,니시모리 히데토시,로드북,"  13,500 ",1
,IT,IT 아키텍트가 하지 말아야 할 128가지,니케이시스템즈,로드북,"  20,700 ",1
,IT,DEBUG IT 실용주의 디버깅,폴 부처,에이콘출판,"  22,500 ",1
,IT,제록스 팔로알토 연구소,"마이클 A. 힐트직 (지은이),이재범 (옮긴이)",지식함지,"  16,500 ",1
,IT,"해커, 광기의 랩소디","스티븐 레비 (지은이),박재호,이해영 (옮긴이)",한빛미디어,"  25,000 ",1
,IT,해커와화가,"폴 그레이엄 (지은이),임백준 (옮긴이),정희 (감수)",한빛미디어,"  18,000 ",2
,IT,제2의 기계 시대,"에릭 브린욜프슨, 앤드루 맥아피 저/이한음 역",청림출판 ,"  15,000 ",1
,IT,머신 플랫폼 크라우드,"앤드루 맥아피,에릭 브린욜프슨 저/이한음 역",청림출판 ,"  18,000 ",1
,IT,리눅스 커널의 구조와 원리 1,김동현,위키북스,"  40,000 ",1
,IT,리눅스 커널의 구조와 원리 2,김동현,위키북스,"  40,000 ",1
,IT,혼자 공부하는 파이썬,윤인성,한빛미디어,"  18,000 ",1
,IT,CODE 코드 : 컴퓨터 하드웨어와 소프트웨어에 숨어 있는 언어,찰스 펫졸드,인사이트,"  25,000 ",1
,IT,"팀 개발을 위한 Git, GitHub 시작하기 : 소스코드 버전 관리를 위한 깃, 깃허브, 오픈소스 참여","정호영, 진유림",한빛미디어,"  18,000 ",1
,IT,후니의 쉽게 쓴 시스코 네트워킹,진강훈,성안당,"  35,000 ",2
,IT,완벽한 IT 인프라 구축을 위한 Docker : 인프라 기초 지식 & 코드에 따른 환경 구축의 자동화[2판],Asa Shiho,정보문화사,"  25,000 ",1
,IT,인공지능 비즈니스 트렌드,테크니들,와이즈들,"  18,000 ",1
,사회,21세기를 위한 21가지 제언,유발 하라리,김영사,"  22,000 ",1
,IT,딥러닝 첫걸음,김성필 ,한빛미디어,"  18,000 ",1
,IT,인공지능 70,미야케 요이치로,제이펍,"  13,000 ",1
,IT,AI 마인드,마틴 포드,터닝포인트,"  22,000 ",1
,사회,나만의 연설문을 써라,윤범기,필로소픽,"  16,000 ",1
,IT,1년 안에 AI 빅데이터 전문가가 되는 법,서대호,반니,"  15,800 ",1
,IT,우리아이 AI: 인공지능시대의 인공지능 융합교육법,박찬 외,다빈치 books,"  24,000 ",1
,IT,소프트웨어 장인,산드로 만쿠소,길벗,"  22,000 ",1
,IT,한 권으로 정리하는 4차 산업혁명,최진기,이지퍼블리싱,"  16,800 ",1
,IT,소프트웨어 공학의 모든 것,최은만,생능출판사,"  30,000 ",1
,경제경영,OKR 전설적인 벤처투자자가 구글에 전해준 성공 방식,존 도어 외,세종서적,"  19,000 ",1
,경제경영,벤처창업경영론(2판),성태경,정독,"  18,000 ",1
,경제경영,벤처창업과 투자전략(개정판,정종용,무역경영사,"  22,000 ",1
,경제경영,스타트업 가이드7,전화성,이콘,"  15,000 ",1
,경제경영,스타트업 101,하세가와 가쓰야,호이테북스,"  22,000 ",1
,경제경영,스타트업 1년 차입니다,조성주,천그루숲,"  15,000 ",1
,경제경영,스타트업은 어떻게 유니콘이 되는가,최정우,쌤앤파커스,"  15,000 ",1
,경제경영,장병규의 스타트업 한국,장병규,넥서스BIZ,"  15,000 ",1
,경제경영,스타트업 CFO와 창업재무,심규태,한국경제경영신문i,"  16,000 ",1
,경제경영,카이스트 K스쿨 스타트업 재무 특강,안성태,니케북스,"  14,000 ",1
,경제경영,스타트업 백서,김건우,슬기북스,"  15,000 ",1
,자기계발,숙면의 모든 것 - 스탠퍼드 교수가 가르쳐 주는,니시노 세이지,브론스테인,"  13,800 ",1
,자기계발,인생은 지름길이 없다,스웨이,정민미디어,"  13,500 ",1
,IT,윤성우의 열혈 C프로그래밍,윤성우,오렌지미디어,"  25,000 ",1
